cell_id,group,ln_nll,constant_nll,retinal_r4_nll,selected_lambda,best_step,stopping_step,stop_reason,refit_steps,best_inner_dev_nll,winner_vs_constant,winner_vs_r4,three_way_winner,parameter_count,actually_updated_count,train_valid_bins,validation_valid_bins,artifact_dir
67#4,PC_OFF,0.4796956777572632,0.5226954221725464,0.4841122329235077,0.01,435,635,patience,435,0.506289005279541,LN,LN,LN,128,128,1920,480,D:\PythonProject\retina_rf_SNN\output\real_data\schottdorf_center_surround_ln_22cell_seed61001_20260830\cells\67_4
67#6,MC_OFF,0.4307261109352112,0.5222243666648865,0.46408164501190186,0.01,858,1000,maximum_steps,858,0.45724713802337646,LN,LN,LN,128,128,13440,3360,D:\PythonProject\retina_rf_SNN\output\real_data\schottdorf_center_surround_ln_22cell_seed61001_20260830\cells\67_6
67#7,MC_ON,0.4289216101169586,0.529005765914917,0.4680718779563904,0.01,917,1000,maximum_steps,917,0.4573197364807129,LN,LN,LN,128,128,13440,3360,D:\PythonProject\retina_rf_SNN\output\real_data\schottdorf_center_surround_ln_22cell_seed61001_20260830\cells\67_7
67#14,PC_ON,0.3661286532878876,0.5105581283569336,0.38224947452545166,0.01,935,1000,maximum_steps,935,0.3741517663002014,LN,LN,LN,128,128,13440,3360,D:\PythonProject\retina_rf_SNN\output\real_data\schottdorf_center_surround_ln_22cell_seed61001_20260830\cells\67_14
67#21,PC_ON,0.2981460690498352,0.37004104256629944,0.3243543207645416,0.01,953,1000,maximum_steps,953,0.2638244330883026,LN,LN,LN,128,128,13440,3360,D:\PythonProject\retina_rf_SNN\output\real_data\schottdorf_center_surround_ln_22cell_seed61001_20260830\cells\67_21
67#26,PC_ON,0.515616238117218,0.5894726514816284,0.5387109518051147,0.01,905,1000,maximum_steps,905,0.49919620156288147,LN,LN,LN,128,128,13440,3360,D:\PythonProject\retina_rf_SNN\output\real_data\schottdorf_center_surround_ln_22cell_seed61001_20260830\cells\67_26
67#33,MC_OFF,0.3734823763370514,0.4962886869907379,0.42171624302864075,0.01,900,1000,maximum_steps,900,0.38115090131759644,LN,LN,LN,128,128,13440,3360,D:\PythonProject\retina_rf_SNN\output\real_data\schottdorf_center_surround_ln_22cell_seed61001_20260830\cells\67_33
67#34,PC_ON,0.37744656205177307,0.48460838198661804,0.3927723467350006,1e-05,914,1000,maximum_steps,914,0.39172878861427307,LN,LN,LN,128,128,13440,3360,D:\PythonProject\retina_rf_SNN\output\real_data\schottdorf_center_surround_ln_22cell_seed61001_20260830\cells\67_34
68#3,MC_OFF,0.4869406223297119,0.6051455736160278,0.532558262348175,0.01,920,1000,maximum_steps,920,0.4555814266204834,LN,LN,LN,128,128,13440,3360,D:\PythonProject\retina_rf_SNN\output\real_data\schottdorf_center_surround_ln_22cell_seed61001_20260830\cells\68_3
68#4,PC_ON,0.4231850504875183,0.45858410000801086,0.45166701078414917,0.01,990,1000,maximum_steps,990,0.4271106719970703,LN,LN,LN,128,128,11520,2880,D:\PythonProject\retina_rf_SNN\output\real_data\schottdorf_center_surround_ln_22cell_seed61001_20260830\cells\68_4
68#7,PC_ON,0.35670673847198486,0.4731142222881317,0.3927496671676636,0.01,936,1000,maximum_steps,936,0.40845152735710144,LN,LN,LN,128,128,13440,3360,D:\PythonProject\retina_rf_SNN\output\real_data\schottdorf_center_surround_ln_22cell_seed61001_20260830\cells\68_7
68#10,MC_ON,0.3150794804096222,0.44951745867729187,0.4256708323955536,0.01,996,1000,maximum_steps,996,0.357828825712204,LN,LN,LN,128,128,1920,480,D:\PythonProject\retina_rf_SNN\output\real_data\schottdorf_center_surround_ln_22cell_seed61001_20260830\cells\68_10
68#11,PC_OFF,0.38745129108428955,0.45921972393989563,0.39242833852767944,0.01,820,1000,maximum_steps,820,0.3732221722602844,LN,LN,LN,128,128,13440,3360,D:\PythonProject\retina_rf_SNN\output\real_data\schottdorf_center_surround_ln_22cell_seed61001_20260830\cells\68_11
69#3,PC_OFF,0.5631685256958008,0.632579505443573,0.56757652759552,0.01,858,1000,maximum_steps,858,0.5228673219680786,LN,LN,LN,128,128,13440,3360,D:\PythonProject\retina_rf_SNN\output\real_data\schottdorf_center_surround_ln_22cell_seed61001_20260830\cells\69_3
69#4,MC_ON,0.4279788136482239,0.5139977931976318,0.4420666992664337,1e-05,880,1000,maximum_steps,880,0.4532192051410675,LN,LN,LN,128,128,11520,2880,D:\PythonProject\retina_rf_SNN\output\real_data\schottdorf_center_surround_ln_22cell_seed61001_20260830\cells\69_4
69#6,MC_OFF,0.4302074909210205,0.5116271376609802,0.45485395193099976,0.01,1000,1000,maximum_steps,1000,0.4363899230957031,LN,LN,LN,128,128,13440,3360,D:\PythonProject\retina_rf_SNN\output\real_data\schottdorf_center_surround_ln_22cell_seed61001_20260830\cells\69_6
69#7,MC_ON,0.4580737054347992,0.5219630002975464,0.4739486575126648,1e-05,979,1000,maximum_steps,979,0.47611790895462036,LN,LN,LN,128,128,13440,3360,D:\PythonProject\retina_rf_SNN\output\real_data\schottdorf_center_surround_ln_22cell_seed61001_20260830\cells\69_7
69#21,PC_OFF,0.4721376299858093,0.5310361385345459,0.5180193185806274,0.01,967,1000,maximum_steps,967,0.4969191253185272,LN,LN,LN,128,128,11520,2880,D:\PythonProject\retina_rf_SNN\output\real_data\schottdorf_center_surround_ln_22cell_seed61001_20260830\cells\69_21
70#1,PC_ON,0.5250367522239685,0.5555933117866516,0.562501847743988,0.01,955,1000,maximum_steps,955,0.5189164876937866,LN,LN,LN,128,128,11520,2880,D:\PythonProject\retina_rf_SNN\output\real_data\schottdorf_center_surround_ln_22cell_seed61001_20260830\cells\70_1
