cell_id,group,train_bins,validation_bins,center_surround_ln_nll,canonical_v1_nll,inherited_ln_lambda,inherited_ln_refit_steps,sc_adapted_nll,sc_adapted_success,sc_adapted_iterations,sc_adapted_new_parameters,matched_w0_nll,matched_w0_success,matched_w0_iterations,matched_w0_new_parameters,frozen_initialization_match
67#4,PC_OFF,1920,480,0.4796956777572632,0.46489620208740234,0.01,435,0.5281393141364099,True,12,4,0.5245925660425217,True,15,3,true
67#6,MC_OFF,13440,3360,0.4307261109352112,0.4422644376754761,0.01,858,0.4889014517515875,True,41,4,0.49122015561666116,True,9,3,true
67#7,MC_ON,13440,3360,0.4289216101169586,0.45688679814338684,0.01,917,0.44657196628640855,True,14,4,0.4504759222679465,True,14,3,true
67#14,PC_ON,13440,3360,0.3661286532878876,0.3729247450828552,0.01,935,0.3762592719233111,True,30,4,0.39232702004636033,True,7,3,true
67#21,PC_ON,13440,3360,0.2981460690498352,0.30912548303604126,0.01,953,0.3041017286693641,True,44,4,0.30956182881341016,True,12,3,true
67#26,PC_ON,13440,3360,0.515616238117218,0.5125158429145813,0.01,905,0.525191626746297,True,19,4,0.5266570903565996,True,31,3,true
67#33,MC_OFF,13440,3360,0.3734823763370514,0.36991727352142334,0.01,900,0.466717875720877,True,45,4,0.46819694062987793,True,26,3,true
67#34,PC_ON,13440,3360,0.37744656205177307,0.3863816261291504,1e-05,914,0.3964390789047723,True,34,4,0.3994805888395081,True,11,3,true
68#3,MC_OFF,13440,3360,0.4869406223297119,0.5194198489189148,0.01,920,0.5737578548688193,True,27,4,0.575106493503371,True,51,3,true
68#4,PC_ON,11520,2880,0.4231850504875183,0.4271003007888794,0.01,990,0.4376132267119747,True,45,4,0.43935297504850646,True,25,3,true
68#7,PC_ON,13440,3360,0.35670673847198486,0.38521772623062134,0.01,936,0.3721523671116139,True,14,4,0.37287011364117156,True,11,3,true
68#10,MC_ON,1920,480,0.3150794804096222,0.42107105255126953,0.01,996,0.361510521585647,True,12,4,0.36704559406901005,True,14,3,true
68#11,PC_OFF,13440,3360,0.38745129108428955,0.3728216588497162,0.01,820,0.43892258783981597,True,56,4,0.4502153683381439,True,10,3,true
69#3,PC_OFF,13440,3360,0.5631685256958008,0.5531577467918396,0.01,858,0.6180712027648675,True,44,4,0.6176047210288271,True,15,3,true
69#4,MC_ON,11520,2880,0.4279788136482239,0.4332510530948639,1e-05,880,0.453406195194451,True,16,4,0.4582388115969108,True,14,3,true
69#6,MC_OFF,13440,3360,0.4302074909210205,0.435077965259552,0.01,1000,0.4847742278749893,True,22,4,0.4843044165094018,True,23,3,false
69#7,MC_ON,13440,3360,0.4580737054347992,0.46330294013023376,1e-05,979,0.4650851615299506,True,21,4,0.4690131941920628,True,29,3,true
69#21,PC_OFF,11520,2880,0.4721376299858093,0.5064647197723389,0.01,967,0.5136721483124735,True,38,4,0.5127225681860214,True,263,3,true
70#1,PC_ON,11520,2880,0.5250367522239685,0.5456011891365051,0.01,955,0.5293212340780831,True,49,4,0.5319809873431298,True,14,3,true
70#7,PC_ON,13440,3360,0.47624754905700684,0.4724014699459076,1e-05,932,0.4826914644726937,True,15,4,0.48728495626477814,True,8,3,true
70#15,PC_ON,11520,2880,0.43016013503074646,0.43921318650245667,0.01,564,0.434251621322101,True,9,4,0.4357779472872986,True,13,3,true
70#34,MC_ON,13440,3360,0.34941768646240234,0.3680219352245331,0.01,976,0.38487626461502944,True,12,4,0.38587839390535117,True,14,3,true
