cell_id,group,ln_x_pixels,ln_y_pixels,fixed_x_degrees,fixed_y_degrees,radial_offset_pixels,radial_offset_degrees,zero_nll,aligned_nll,delta_nll,improvement,ln_nll,original_gap,remaining_gap,seed,zero_best_step,aligned_best_step,aligned_stopping_step,descriptive_gap_recovery
67#4,PC_OFF,1.416608214378357,1.104067325592041,0.07636404037475586,-0.05951613187789917,1.796035493102572,0.09681753830006051,0.46489620208740234,0.4618171751499176,-0.003079026937484741,0.003079026937484741,0.4796956777572632,-0.01479947566986084,-0.01787850260734558,20260828,140,75,275,
67#6,MC_OFF,-2.2958531379699707,0.9076178073883057,-0.12376083433628082,-0.04892627149820328,2.468746992993595,0.13308089259106096,0.4422644376754761,0.41992026567459106,-0.02234417200088501,0.02234417200088501,0.4307261109352112,0.011538326740264893,-0.010805845260620117,20260829,369,623,823,1.9365175301295066
67#7,MC_ON,1.6148223876953125,-0.4886271357536316,0.08704902231693268,0.026340056210756302,1.687130054736975,0.09094685451316505,0.45688679814338684,0.43929052352905273,-0.017596274614334106,0.017596274614334106,0.4289216101169586,0.027965188026428223,0.010368913412094116,20260830,276,251,451,0.629220679571506
67#14,PC_ON,1.0699175596237183,-0.4790891110897064,0.05767524242401123,0.025825897231698036,1.172284078521882,0.0631934386078202,0.3729247450828552,0.364595890045166,-0.008328855037689209,0.008328855037689209,0.3661286532878876,0.006796091794967651,-0.0015327632427215576,20260831,250,293,493,1.2255359828801213
67#21,PC_ON,1.0518825054168701,-0.7597895264625549,0.05670304223895073,0.04095740616321564,1.2975888908757909,0.06994815114877309,0.30912548303604126,0.30116841197013855,-0.00795707106590271,0.00795707106590271,0.2981460690498352,0.010979413986206055,0.0030223429203033447,20260832,432,565,765,0.7247263903063994
67#26,PC_ON,0.9772278666496277,0.023524543270468712,0.05267868936061859,-0.0012681199004873633,0.977510975637955,0.05269395103048351,0.5125158429145813,0.5101042985916138,-0.0024115443229675293,0.0024115443229675293,0.515616238117218,-0.0031003952026367188,-0.005511939525604248,20260833,264,266,466,
67#33,MC_OFF,-0.036879926919937134,-1.82248854637146,-0.001988058676943183,0.09824352711439133,1.8228616597714642,0.09826363634705548,0.36991727352142334,0.35740649700164795,-0.01251077651977539,0.01251077651977539,0.3734823763370514,-0.0035651028156280518,-0.016075879335403442,20260834,581,581,781,
67#34,PC_ON,-0.28592345118522644,1.5868418216705322,-0.01541306171566248,-0.08554068952798843,1.6123954809352214,0.08691819389416428,0.3863816261291504,0.37960731983184814,-0.006774306297302246,0.006774306297302246,0.37744656205177307,0.00893506407737732,0.0021607577800750732,20260835,384,383,583,0.7581709810513957
68#3,MC_OFF,-2.7969863414764404,-0.6076110601425171,-0.15077504515647888,0.03275403380393982,2.8622235752668375,0.15429173960422796,0.5194198489189148,0.4826018512248993,-0.0368179976940155,0.0368179976940155,0.4869406223297119,0.03247922658920288,-0.004338771104812622,20260836,140,362,562,1.1335860351506943
68#4,PC_ON,-0.1509963721036911,-0.1614803820848465,-0.008139648474752903,0.00870480202138424,0.2210787601438554,0.011917526914004705,0.4271003007888794,0.42752736806869507,0.00042706727981567383,-0.00042706727981567383,0.4231850504875183,0.003915250301361084,0.004342317581176758,20260837,193,195,395,-0.10907789973662978
68#7,PC_ON,-1.627455711364746,-1.9607875347137451,-0.0877300351858139,0.10569870471954346,2.5481954102349644,0.13736365883297855,0.38521772623062134,0.3507031798362732,-0.034514546394348145,0.034514546394348145,0.35670673847198486,0.028510987758636475,-0.00600355863571167,20260838,79,231,431,1.2105699980139442
68#10,MC_ON,-4.570400714874268,-6.205354690551758,-0.24637316167354584,0.33450740575790405,7.7068144865486365,0.4154454684155124,0.42107105255126953,0.32864370942115784,-0.0924273431301117,0.0924273431301117,0.3150794804096222,0.10599157214164734,0.013564229011535645,20260839,211,469,669,0.8720254003459031
68#11,PC_OFF,-0.21576060354709625,-1.0992871522903442,-0.011630845256149769,0.05925844982266426,1.1202610772644124,0.060389073696284726,0.3728216588497162,0.37891823053359985,0.006096571683883667,-0.006096571683883667,0.38745129108428955,-0.014629632234573364,-0.008533060550689697,20260840,151,328,528,
69#3,PC_OFF,0.2687355577945709,0.6301068663597107,0.014486526139080524,-0.03396669775247574,0.6850207756388221,0.036926901186780256,0.5531577467918396,0.5552599430084229,0.002102196216583252,-0.002102196216583252,0.5631685256958008,-0.010010778903961182,-0.00790858268737793,20260841,573,846,1000,
69#4,MC_ON,1.1302753686904907,-0.20724204182624817,0.06092890724539757,0.011171641759574413,1.1491177802857013,0.06194463034352608,0.4332510530948639,0.4260163903236389,-0.007234662771224976,0.007234662771224976,0.4279788136482239,0.005272239446640015,-0.001962423324584961,20260842,133,131,331,1.3722181711294634
69#6,MC_OFF,0.7037326097488403,1.3008372783660889,0.03793558478355408,-0.07012326270341873,1.4789919576558916,0.0797269102173879,0.435077965259552,0.4330276846885681,-0.0020502805709838867,0.0020502805709838867,0.4302074909210205,0.004870474338531494,0.0028201937675476074,20260843,288,288,488,0.4209611689694418
69#7,MC_ON,1.283694863319397,0.7043752074241638,0.06919917464256287,-0.037970226258039474,1.4642462002499577,0.07893202173222427,0.46330294013023376,0.46393221616744995,0.0006292760372161865,-0.0006292760372161865,0.4580737054347992,0.00522923469543457,0.005858510732650757,20260844,207,552,752,-0.12033807504673323
69#21,PC_OFF,4.55288553237915,1.1892882585525513,0.24542899429798126,-0.06411007046699524,4.705653326890788,0.25366412465270655,0.5064647197723389,0.47759896516799927,-0.0288657546043396,0.0288657546043396,0.4721376299858093,0.03432708978652954,0.005461335182189941,20260845,252,547,747,0.8409030530653068
70#1,PC_ON,0.14811766147613525,5.6388630867004395,0.007984467782080173,-0.30396997928619385,5.6408080761708215,0.3040748103560833,0.5456011891365051,0.5214216113090515,-0.024179577827453613,0.024179577827453613,0.5250367522239685,0.02056443691253662,-0.003615140914916992,20260846,413,709,909,1.175795764809544
70#7,PC_ON,0.3093980550765991,-0.08580311387777328,0.01667848974466324,0.004625324159860611,0.3210752728509382,0.017307963927120886,0.4724014699459076,0.47014960646629333,-0.002251863479614258,0.002251863479614258,0.47624754905700684,-0.003846079111099243,-0.006097942590713501,20260847,222,261,461,
70#15,PC_ON,-1.9555442333221436,1.8003839254379272,-0.10541605949401855,-0.0970519483089447,2.658107508633684,0.1432886078872845,0.43921318650245667,0.430494099855423,-0.008719086647033691,0.008719086647033691,0.43016013503074646,0.009053051471710205,0.00033396482467651367,20260848,57,435,635,0.963110247884913
70#34,MC_ON,-0.933394730091095,-1.4031856060028076,-0.05031580850481987,0.0756404772400856,1.6852761100351759,0.09084691530658369,0.3680219352245331,0.3486645221710205,-0.019357413053512573,0.019357413053512573,0.34941768646240234,0.018604248762130737,-0.0007531642913818359,20260849,171,226,426,1.0404834562798857
