cell_id,group,mode,valid_bins,validation_nll,delta_nll,mean_abs_delta_logit,p95_abs_delta_logit,max_abs_delta_logit
67#4,PC OFF,production,480,0.46489620208740234,0.0,0.0,0.0,0.0
67#4,PC OFF,preroll_400ms,480,0.46488362550735474,-1.2576580047607422e-05,8.351008097330729e-05,0.00028192400932311923,0.005252361297607422
67#4,PC OFF,continuous,480,0.46488291025161743,-1.329183578491211e-05,8.358371754487355e-05,0.0002535998821258531,0.005346536636352539
67#6,MC OFF,production,3360,0.4422644376754761,0.0,0.0,0.0,0.0
67#6,MC OFF,preroll_400ms,3360,0.4422648847103119,4.470348358154297e-07,7.013479868570964e-06,2.8860569000243425e-05,0.00034809112548828125
67#6,MC OFF,continuous,3360,0.4422648847103119,4.470348358154297e-07,7.1036318937937415e-06,3.21090221405027e-05,0.00034618377685546875
67#7,MC ON,production,3360,0.45688679814338684,0.0,0.0,0.0,0.0
67#7,MC ON,preroll_400ms,3360,0.45688363909721375,-3.159046173095703e-06,3.504889706770579e-05,0.00014324188232421836,0.001176595687866211
67#7,MC ON,continuous,3360,0.4568837881088257,-3.0100345611572266e-06,3.7050123016039534e-05,0.00017664432525634714,0.0010786056518554688
67#14,PC ON,production,3360,0.3729247450828552,0.0,0.0,0.0,0.0
67#14,PC ON,preroll_400ms,3360,0.37291452288627625,-1.0222196578979492e-05,0.00020627627770105998,0.0008723020553588715,0.013290166854858398
67#14,PC ON,continuous,3360,0.3729146420955658,-1.0102987289428711e-05,0.00020986559490362804,0.000963163375854482,0.01323246955871582
67#21,PC ON,production,3360,0.30912548303604126,0.0,0.0,0.0,0.0
67#21,PC ON,preroll_400ms,3360,0.3091292679309845,3.7848949432373047e-06,4.431133468945821e-05,9.951591491698906e-05,0.00403904914855957
67#21,PC ON,continuous,3360,0.30912941694259644,3.933906555175781e-06,4.541948437690735e-05,0.00013483166694640915,0.0040018558502197266
67#26,PC ON,production,3360,0.5125158429145813,0.0,0.0,0.0,0.0
67#26,PC ON,preroll_400ms,3360,0.5125172734260559,1.430511474609375e-06,2.1250989465486435e-05,7.228255271911468e-05,0.0017194747924804688
67#26,PC ON,continuous,3360,0.5125172734260559,1.430511474609375e-06,2.138690934294746e-05,7.346868515014434e-05,0.001730203628540039
67#33,MC OFF,production,3360,0.36991727352142334,0.0,0.0,0.0,0.0
67#33,MC OFF,preroll_400ms,3360,0.3699180483818054,7.748603820800781e-07,1.654326915740967e-05,9.685754776000944e-05,0.0008032321929931641
67#33,MC OFF,continuous,3360,0.3699181079864502,8.344650268554688e-07,1.6895805795987447e-05,9.575486183166292e-05,0.0008172988891601562
67#34,PC ON,production,3360,0.3863816261291504,0.0,0.0,0.0,0.0
67#34,PC ON,preroll_400ms,3360,0.38639962673187256,1.800060272216797e-05,0.0003698802242676417,0.0018102526664733579,0.018087267875671387
67#34,PC ON,continuous,3360,0.38639941811561584,1.77919864654541e-05,0.00037153673668702443,0.0018032431602477998,0.018164992332458496
68#3,MC OFF,production,3360,0.5194198489189148,0.0,0.0,0.0,0.0
68#3,MC OFF,preroll_400ms,3360,0.5194252729415894,5.424022674560547e-06,3.837967912356059e-05,0.0001371756196022029,0.00263369083404541
68#3,MC OFF,continuous,3360,0.5194251537322998,5.304813385009766e-06,4.004339377085368e-05,0.00016557276248931792,0.0025818347930908203
68#4,PC ON,production,2880,0.4271003007888794,0.0,0.0,0.0,0.0
68#4,PC ON,preroll_400ms,2880,0.4270986020565033,-1.6987323760986328e-06,4.2007739345232646e-05,0.00015499591827391915,0.002576589584350586
68#4,PC ON,continuous,2880,0.42709851264953613,-1.7881393432617188e-06,4.34058407942454e-05,0.0001873314380645749,0.002524137496948242
68#7,PC ON,production,3360,0.38521772623062134,0.0,0.0,0.0,0.0
68#7,PC ON,preroll_400ms,3360,0.3852051794528961,-1.2546777725219727e-05,0.0001762279619773229,0.0006881415843963574,0.013047456741333008
68#7,PC ON,continuous,3360,0.3852054178714752,-1.2308359146118164e-05,0.0001792957385381063,0.000710541009902946,0.012989282608032227
68#10,MC ON,production,480,0.42107105255126953,0.0,0.0,0.0,0.0
68#10,MC ON,preroll_400ms,480,0.42105892300605774,-1.2129545211791992e-05,7.808407147725423e-05,0.00027122497558593683,0.005682706832885742
68#10,MC ON,continuous,480,0.4210595488548279,-1.150369644165039e-05,8.08576742808024e-05,0.000303977727890013,0.00560915470123291
68#11,PC OFF,production,3360,0.3728216588497162,0.0,0.0,0.0,0.0
68#11,PC OFF,preroll_400ms,3360,0.3728259801864624,4.32133674621582e-06,0.00012478679418563842,0.00041048824787139667,0.008124351501464844
68#11,PC OFF,continuous,3360,0.3728257715702057,4.112720489501953e-06,0.00012528660396734874,0.0003801822662353456,0.008249759674072266
69#3,PC OFF,production,3360,0.5531577467918396,0.0,0.0,0.0,0.0
69#3,PC OFF,preroll_400ms,3360,0.5531613230705261,3.5762786865234375e-06,6.97756807009379e-05,0.0002384856343269333,0.00573277473449707
69#3,PC OFF,continuous,3360,0.5531612634658813,3.516674041748047e-06,7.027623554070791e-05,0.00023824125528334675,0.0057370662689208984
69#4,MC ON,production,2880,0.4332510530948639,0.0,0.0,0.0,0.0
69#4,MC ON,preroll_400ms,2880,0.43324559926986694,-5.453824996948242e-06,6.704442203044891e-05,0.0003338992595672588,0.002646207809448242
69#4,MC ON,continuous,2880,0.43324562907218933,-5.424022674560547e-06,6.897759934266408e-05,0.00037294030189514066,0.002479076385498047
69#6,MC OFF,production,3360,0.435077965259552,0.0,0.0,0.0,0.0
69#6,MC OFF,preroll_400ms,3360,0.43507805466651917,8.940696716308594e-08,1.30578875541687e-05,5.7369470596312663e-05,0.000469207763671875
69#6,MC OFF,continuous,3360,0.43507784605026245,-1.1920928955078125e-07,1.3632948199907938e-05,6.583631038665656e-05,0.0004322528839111328
69#7,MC ON,production,3360,0.46330294013023376,0.0,0.0,0.0,0.0
69#7,MC ON,preroll_400ms,3360,0.46330225467681885,-6.854534149169922e-07,3.206084171930949e-05,0.0001330554485321044,0.0010275840759277344
69#7,MC ON,continuous,3360,0.4633030593395233,1.1920928955078125e-07,3.401711583137512e-05,0.0001644849777221668,0.0009369850158691406
69#21,PC OFF,production,2880,0.5064647197723389,0.0,0.0,0.0,0.0
69#21,PC OFF,preroll_400ms,2880,0.5064665675163269,1.8477439880371094e-06,3.544700642426809e-05,0.00011663436889648411,0.002934694290161133
69#21,PC OFF,continuous,2880,0.5064665675163269,1.8477439880371094e-06,3.556857506434123e-05,0.00011637508869170965,0.0029507875442504883
70#1,PC ON,production,2880,0.5456011891365051,0.0,0.0,0.0,0.0
70#1,PC ON,preroll_400ms,2880,0.5455992221832275,-1.9669532775878906e-06,2.524368464946747e-05,0.00013112425804137862,0.0008175373077392578
70#1,PC ON,continuous,2880,0.5455992221832275,-1.9669532775878906e-06,2.459573249022166e-05,0.0001424133777618404,0.0007560253143310547
