split,cell_id,group,pathway,matching_feature,E,overlap_mass,Q1_bins,Q5_bins,retained_strata,residual_U_difference,residual_LSC_difference,residual_C_difference,residual_R_difference,Q1_overlap_fraction,Q5_overlap_fraction,unconditional_denominator,normalized_E
development,67#4,PC_OFF,BC,LSC,0.4741402760221509,6,96,96,2,-1.0978831548146415,0.18431916728954267,-1.2084526408637908,-1.3355769116932668,0.0625,0.0625,0.36751610057527123,1.2901211002184159
development,67#4,PC_OFF,AC,LSC,-0.6571500250353788,6,96,96,2,-1.0978831548146415,0.18431916728954267,-1.2084526408637908,-1.3355769116932668,0.0625,0.0625,0.06709449280473538,-9.794395896960989
development,67#6,MC_OFF,BC,LSC,-0.05926594330287743,70,672,672,3,0.7691254523317768,0.14960217387637362,0.6921920664131483,0.5907718547025722,0.10416666666666667,0.10416666666666667,0.31259832790035835,-0.18959136378288188
development,67#6,MC_OFF,AC,LSC,-0.16012442242192712,70,672,672,3,0.7691254523317768,0.14960217387637362,0.6921920664131483,0.5907718547025722,0.10416666666666667,0.10416666666666667,0.11212905985365264,-1.428036787527841
development,67#7,MC_ON,BC,LSC,-0.1103471715633221,84,672,672,3,0.9042082778085254,0.21265494920463024,0.8338673179160689,0.7959145949641631,0.125,0.125,0.2975954588779322,-0.37079588505611016
development,67#7,MC_ON,AC,LSC,0.2772863902721574,84,672,672,3,0.9042082778085254,0.21265494920463024,0.8338673179160689,0.7959145949641631,0.125,0.125,0.22482767340795498,1.2333285581308973
development,67#14,PC_ON,BC,LSC,-0.07836611801335863,105,672,672,3,-0.4810949569042456,0.09234633114612864,-0.6249838988861662,-0.7514328451267985,0.15625,0.15625,0.34522890071475193,-0.22699755973822494
development,67#14,PC_ON,AC,LSC,-0.18011975499145344,105,672,672,3,-0.4810949569042456,0.09234633114612864,-0.6249838988861662,-0.7514328451267985,0.15625,0.15625,0.1069329743238947,-1.684417328988527
development,67#21,PC_ON,BC,LSC,0.15060799737319117,56,672,672,2,0.7403521543565148,0.3565590730975885,0.6404365917005634,0.5888483921843545,0.08333333333333333,0.08333333333333333,0.20901075323094542,0.7205753533971412
development,67#21,PC_ON,AC,LSC,0.13259337082537767,56,672,672,2,0.7403521543565148,0.3565590730975885,0.6404365917005634,0.5888483921843545,0.08333333333333333,0.08333333333333333,0.10802804293078386,1.2273976944147122
development,67#26,PC_ON,BC,LSC,0.19242218476219192,49,672,672,3,0.818366946372425,0.06061406215157433,0.7710529254245425,0.5425253563423874,0.07291666666666667,0.07291666666666667,0.29179192692486955,0.6594499950361433
development,67#26,PC_ON,AC,LSC,-0.025601792817487538,49,672,672,3,0.818366946372425,0.06061406215157433,0.7710529254245425,0.5425253563423874,0.07291666666666667,0.07291666666666667,0.10029588237339807,-0.2552626509847429
development,67#33,MC_OFF,BC,LSC,-0.17008100208674834,105,672,672,3,0.745392874465127,0.12744274154841564,0.7001936495573893,0.6325979383687647,0.15625,0.15625,0.28343092285250426,-0.6000792022797649
development,67#33,MC_OFF,AC,LSC,-0.05507742147239732,105,672,672,3,0.745392874465127,0.12744274154841564,0.7001936495573893,0.6325979383687647,0.15625,0.15625,0.12342348975092847,-0.4462474816061745
development,67#34,PC_ON,BC,LSC,0.08764277805434573,105,672,672,3,1.1037061474896854,0.12247170075003068,1.15181163856382,0.9187187700632482,0.15625,0.15625,0.24691782219802155,0.3549471531627982
development,67#34,PC_ON,AC,LSC,-0.09479945800991069,105,672,672,3,1.1037061474896854,0.12247170075003068,1.15181163856382,0.9187187700632482,0.15625,0.15625,0.1459931653481486,-0.6493417536625311
development,68#3,MC_OFF,BC,LSC,0.06198855897742473,112,672,672,3,0.6821515421666264,0.1487391727577129,0.5151734081956061,0.574791820004265,0.16666666666666666,0.16666666666666666,0.33994314724223357,0.18234978254541337
development,68#3,MC_OFF,AC,LSC,0.001767649739141501,112,672,672,3,0.6821515421666264,0.1487391727577129,0.5151734081956061,0.574791820004265,0.16666666666666666,0.16666666666666666,0.11895231130898917,0.014860154625746398
development,68#4,PC_ON,BC,LSC,0.15110351354222562,30,576,576,3,0.7682994486006008,0.1772551061751359,0.8516810308040278,0.6123755732784506,0.052083333333333336,0.052083333333333336,0.04625628295826914,3.2666592272134385
development,68#4,PC_ON,AC,LSC,-0.0676603447316948,30,576,576,3,0.7682994486006008,0.1772551061751359,0.8516810308040278,0.6123755732784506,0.052083333333333336,0.052083333333333336,0.25280985908340536,-0.2676333311406686
development,68#7,PC_ON,BC,LSC,-0.06552156493644906,77,672,672,3,0.5380246746786302,0.07035604934657588,0.49690668481954353,0.36065600080997656,0.11458333333333333,0.11458333333333333,0.3384233620946956,-0.19360827967342045
development,68#7,PC_ON,AC,LSC,0.10854925307909652,77,672,672,3,0.5380246746786302,0.07035604934657588,0.49690668481954353,0.36065600080997656,0.11458333333333333,0.11458333333333333,0.12106727196707846,0.8966027838523863
development,68#10,MC_ON,BC,LSC,-0.10665228789334681,14,96,96,3,0.407520480495357,0.03595929545691683,0.5428895643063338,0.3832542146784346,0.14583333333333334,0.14583333333333334,0.2371734610102273,-0.4496805310301889
development,68#10,MC_ON,AC,LSC,0.13664701706440008,14,96,96,3,0.407520480495357,0.03595929545691683,0.5428895643063338,0.3832542146784346,0.14583333333333334,0.14583333333333334,0.059912245555827325,2.280786103019121
development,68#11,PC_OFF,BC,LSC,-0.012768197821391533,49,672,672,3,0.9054936765762817,-0.05356674727978358,0.818934360886512,0.7235481100035727,0.07291666666666667,0.07291666666666667,0.20248981662267093,-0.06305599972557828
