split,cell_id,model,float64_nll,native_float32_nll,delta
development,67#4,aligned,0.4618171964676616,0.4618171751499176,2.1317744014481832e-08
development,67#4,LN,0.4796956803497678,0.4796956777572632,2.592504599885359e-09
development,67#4,CNN,0.49805632310752224,0.4980563521385193,-2.9030997050760732e-08
development,67#6,aligned,0.4199202611008444,0.41992026567459106,-4.573746659186639e-09
development,67#6,LN,0.43072605102252204,0.4307261109352112,-5.991268914318226e-08
development,67#6,CNN,0.4016704154807122,0.4016703963279724,1.915273978303489e-08
development,67#7,aligned,0.43929046271063105,0.43929052352905273,-6.08184216877028e-08
development,67#7,LN,0.4289215976654796,0.4289216101169586,-1.2451479014519151e-08
development,67#7,CNN,0.3861783504003167,0.3861783444881439,5.912172751365574e-09
development,67#14,aligned,0.36459590486500965,0.364595890045166,1.4819843630053953e-08
development,67#14,LN,0.36612862063687124,0.3661286532878876,-3.2651016335094596e-08
development,67#14,CNN,0.34891787539901287,0.3489179015159607,-2.6116947826615444e-08
development,67#21,aligned,0.3011684390782402,0.30116841197013855,2.7108101652295602e-08
development,67#21,LN,0.29814603821865054,0.2981460690498352,-3.083118466085111e-08
development,67#21,CNN,0.3066127651196689,0.3066127598285675,5.291101390358932e-09
development,67#26,aligned,0.510104319752643,0.5101042985916138,2.116102926219554e-08
development,67#26,LN,0.5156162379023809,0.515616238117218,-2.1483714807146725e-10
development,67#26,CNN,0.5062724000627874,0.5062724351882935,-3.512550605933029e-08
development,67#33,aligned,0.35740650540781677,0.35740649700164795,8.406168816588178e-09
development,67#33,LN,0.37348237593015876,0.3734823763370514,-4.0689263069992876e-10
development,67#33,CNN,0.37403409098340795,0.3740341067314148,-1.5748006843008255e-08
development,67#34,aligned,0.3796073332107326,0.37960731983184814,1.3378884444747996e-08
development,67#34,LN,0.37744659554082943,0.37744656205177307,3.348905636135768e-08
development,67#34,CNN,0.3664487131152333,0.36644867062568665,4.248954665886373e-08
development,68#3,aligned,0.482601877891427,0.4826018512248993,2.666652770821898e-08
development,68#3,LN,0.486940590868599,0.4869406223297119,-3.1461112937059e-08
development,68#3,CNN,0.46991510195010017,0.46991512179374695,-1.984364678131456e-08
development,68#4,aligned,0.4275273902495854,0.42752736806869507,2.2180890346668036e-08
development,68#4,LN,0.4231850592555704,0.4231850504875183,8.768052062180232e-09
development,68#4,CNN,0.4444692267319466,0.4444691836833954,4.304855122372331e-08
development,68#7,aligned,0.3507031899919394,0.3507031798362732,1.0155666196887125e-08
development,68#7,LN,0.35670673986557777,0.35670673847198486,1.3935929077391052e-09
development,68#7,CNN,0.35286992112754245,0.3528699278831482,-6.755605741481929e-09
development,68#10,aligned,0.32864367934360206,0.32864370942115784,-3.007755577932869e-08
development,68#10,LN,0.3150794453049529,0.3150794804096222,-3.5104669282581824e-08
development,68#10,CNN,0.31262242508994975,0.31262242794036865,-2.8504189009126435e-09
development,68#11,aligned,0.3789182332583078,0.37891823053359985,2.7247079592562784e-09
development,68#11,LN,0.38745129351240953,0.38745129108428955,2.4281199828557476e-09
development,68#11,CNN,0.41393248543708205,0.4139324426651001,4.277198195623555e-08
development,69#3,aligned,0.5552599367711325,0.5552599430084229,-6.2372903508745026e-09
development,69#3,LN,0.5631685768675504,0.5631685256958008,5.11717496154418e-08
development,69#3,CNN,0.5795568252957987,0.5795568227767944,2.5190042274303437e-09
development,69#4,aligned,0.42601643226000185,0.4260163903236389,4.193636293781111e-08
development,69#4,LN,0.4279788261925824,0.4279788136482239,1.2544358496402452e-08
development,69#4,CNN,0.37190514902501864,0.3719051480293274,9.956912516706495e-10
development,69#6,aligned,0.4330276466720516,0.4330276846885681,-3.801651649038007e-08
development,69#6,LN,0.4302075255708946,0.4302074909210205,3.4649874081083e-08
development,69#6,CNN,0.41206001742666504,0.4120599925518036,2.487486144842066e-08
development,69#7,aligned,0.46393221926929734,0.46393221616744995,3.10184739005237e-09
development,69#7,LN,0.4580737026042277,0.4580737054347992,-2.830571499412571e-09
development,69#7,CNN,0.4512026141829913,0.4512026011943817,1.2988609576769505e-08
development,69#21,aligned,0.477598931025313,0.47759896516799927,-3.4142686289317936e-08
development,69#21,LN,0.47213759878551387,0.4721376299858093,-3.120029545833347e-08
development,69#21,CNN,0.5046580774728746,0.5046581029891968,-2.5516322166296845e-08
development,70#1,aligned,0.5214215947786135,0.5214216113090515,-1.6530438018413918e-08
development,70#1,LN,0.5250367397716151,0.5250367522239685,-1.2452353370662195e-08
development,70#1,CNN,0.5353418098731718,0.5353417992591858,1.0613986023422228e-08
development,70#7,aligned,0.4701496124410452,0.47014960646629333,5.974751859927352e-09
development,70#7,LN,0.47624753955169813,0.47624754905700684,-9.505308706803106e-09
development,70#7,CNN,0.49985797485136135,0.499858021736145,-4.688478366654536e-08
development,70#15,aligned,0.43049410368046764,0.430494099855423,3.825044669891753e-09
development,70#15,LN,0.43016013502007705,0.43016013503074646,-1.0669409800101448e-11
development,70#15,CNN,0.41888831900633056,0.4188883602619171,-4.125558655809769e-08
development,70#34,aligned,0.34866456002726265,0.3486645221710205,3.7856242141032226e-08
development,70#34,LN,0.3494177213391749,0.34941768646240234,3.487677258107169e-08
development,70#34,CNN,0.3416809306816377,0.3416809141635895,1.6518048207014857e-08
