cell_id,recording_ids,retinal_class,polarity,ln_x_degree,ln_y_degree,ln_radial_degree,ln_radial_arcmin,official_x_degree,official_y_degree,official_radial_degree,official_radial_arcmin,vector_error_degree,x_sign_agreement,y_sign_agreement,cosine,angle_degree,quadrant_agreement,official_source_artifact,official_evidence_class,status
67#4,lSS01071,PC,OFF,0.07636404037475586,-0.05951613187789917,0.09681753830006051,5.809052298003631,,,,,,,,,,,,,UNVERIFIED_NO_USABLE_AUTHOR_CENTER
67#6,lSS01078|lSS01079,MC,OFF,-0.12376083433628082,-0.04892627149820328,0.13308089259106096,7.9848535554636575,,,,,,,,,,,,,UNVERIFIED_NO_USABLE_AUTHOR_CENTER
67#7,lSS01086|lSS01087,MC,ON,0.08704902231693268,0.026340056210756302,0.09094685451316505,5.456811270789903,,,,,,,,,,,,,UNVERIFIED_NO_USABLE_AUTHOR_CENTER
67#14,lSS01110|lSS01112,PC,ON,0.05767524242401123,0.025825897231698036,0.0631934386078202,3.791606316469212,,,,,,,,,,,,,UNVERIFIED_NO_USABLE_AUTHOR_CENTER
67#21,lSS01130|lSS01131,PC,ON,0.05670304223895073,0.04095740616321564,0.06994815114877309,4.196889068926385,,,,,,,,,,,,,UNVERIFIED_NO_USABLE_AUTHOR_CENTER
67#26,lSS01141|lSS01142,PC,ON,0.05267868936061859,-0.0012681199004873633,0.05269395103048351,3.1616370618290106,,,,,,,,,,,,,UNVERIFIED_NO_USABLE_AUTHOR_CENTER
67#33,lSS01159|lSS01160,MC,OFF,-0.001988058676943183,0.09824352711439133,0.09826363634705548,5.895818180823329,,,,,,,,,,,,,UNVERIFIED_NO_USABLE_AUTHOR_CENTER
67#34,lSS01167|lSS01168,PC,ON,-0.01541306171566248,-0.08554068952798843,0.08691819389416428,5.215091633649856,,,,,,,,,,,,,UNVERIFIED_NO_USABLE_AUTHOR_CENTER
68#3,lSS01181|lSS01183,MC,OFF,-0.15077504515647888,0.03275403380393982,0.15429173960422796,9.257504376253678,,,,,,,,,,,,,UNVERIFIED_NO_USABLE_AUTHOR_CENTER
68#4,lSS01184,PC,ON,-0.008139648474752903,0.00870480202138424,0.011917526914004705,0.7150516148402822,,,,,,,,,,,,,UNVERIFIED_NO_USABLE_AUTHOR_CENTER
68#7,lSS01194|lSS01196,PC,ON,-0.0877300351858139,0.10569870471954346,0.13736365883297855,8.241819529978713,,,,,,,,,,,,,UNVERIFIED_NO_USABLE_AUTHOR_CENTER
68#10,lSS01221,MC,ON,-0.24637316167354584,0.33450740575790405,0.4154454684155124,24.926728104930742,,,,,,,,,,,,,UNVERIFIED_NO_USABLE_AUTHOR_CENTER
68#11,lSS01225|lSS01227,PC,OFF,-0.011630845256149769,0.05925844982266426,0.060389073696284726,3.6233444217770834,,,,,,,,,,,,,UNVERIFIED_NO_USABLE_AUTHOR_CENTER
69#3,lSS01251|lSS01252,PC,OFF,0.014486526139080524,-0.03396669775247574,0.036926901186780256,2.2156140712068155,,,,,,,,,,,,,UNVERIFIED_NO_USABLE_AUTHOR_CENTER
69#4,lSS01254,MC,ON,0.06092890724539757,0.011171641759574413,0.06194463034352608,3.716677820611565,,,,,,,,,,,,,UNVERIFIED_NO_USABLE_AUTHOR_CENTER
69#6,lSS01256|lSS01257,MC,OFF,0.03793558478355408,-0.07012326270341873,0.0797269102173879,4.783614613043274,,,,,,,,,,,,,UNVERIFIED_NO_USABLE_AUTHOR_CENTER
69#7,lSS01258|lSS01259,MC,ON,0.06919917464256287,-0.037970226258039474,0.07893202173222427,4.7359213039334564,,,,,,,,,,,,,UNVERIFIED_NO_USABLE_AUTHOR_CENTER
69#21,lSS01270,PC,OFF,0.24542899429798126,-0.06411007046699524,0.25366412465270655,15.219847479162393,,,,,,,,,,,,,UNVERIFIED_NO_USABLE_AUTHOR_CENTER
70#1,lSS01278,PC,ON,0.007984467782080173,-0.30396997928619385,0.3040748103560833,18.244488621364997,,,,,,,,,,,,,UNVERIFIED_NO_USABLE_AUTHOR_CENTER
70#7,lSS01284|lSS01285,PC,ON,0.01667848974466324,0.004625324159860611,0.017307963927120886,1.0384778356272533,,,,,,,,,,,,,UNVERIFIED_NO_USABLE_AUTHOR_CENTER
70#15,lSS01287,PC,ON,-0.10541605949401855,-0.0970519483089447,0.1432886078872845,8.59731647323707,,,,,,,,,,,,,UNVERIFIED_NO_USABLE_AUTHOR_CENTER
70#34,lSS01299|lSS01300,MC,ON,-0.05031580850481987,0.0756404772400856,0.09084691530658369,5.450814918395022,,,,,,,,,,,,,UNVERIFIED_NO_USABLE_AUTHOR_CENTER
